uid,xml_count,danmu_count
18294364,5,9
23338703,5,9
25905887,5,9
26257645,5,9
36328236,5,9
5016081,5,9
51818085,5,9
12294696,5,8
13665118,5,8
15297732,5,8
16797032,5,8
17086,5,8
18678851,5,8
1940010,5,8
20360895,5,8
22112254,5,8
31255976,5,8
31306503,5,8
36141102,5,8
36934493,5,8
36973520,5,8
60501814,5,8
7101739,5,8
8116046,5,8
8434547,5,8
11510411,5,7
13223343,5,7
1729582,5,7
18147443,5,7
19488419,5,7
2068087,5,7
21331813,5,7
240011,5,7
25044390,5,7
25604940,5,7
394738,5,7
532203,5,7
659531,5,7
66779242,5,7
77212680,5,7
8850214,5,7
12145510,5,6
1311230,5,6
13134435,5,6
15468083,5,6
20653278,5,6
2996557,5,6
37707201,5,6
37871782,5,6
4259791,5,6
52449391,5,6
8586921,5,6
8680065,5,6
97533607,5,6
10220779,5,5
11841045,5,5
14007075,5,5
15218027,5,5
19388771,5,5
19441697,5,5
20699052,5,5
23472144,5,5
28854655,5,5
29272748,5,5
33540689,5,5
33713684,5,5
34988789,5,5
3555076,5,5
66607887,5,5
70859401,5,5
7183799,5,5
7607529,5,5
86639937,5,5
87749570,5,5
9103193,5,5
23393664,4,178
28552314,4,166
23020216,4,152
12615977,4,120
11476862,4,102
28784881,4,89
20704907,4,88
12093185,4,87
31544477,4,86
46524671,4,79
22199398,4,74
34621407,4,74
24170511,4,73
7553209,4,54
22224506,4,53
35446662,4,50
22277747,4,49
29033125,4,47
39471201,4,47
84516608,4,44
75595904,4,43
22191514,4,42
23468348,4,41
34244296,4,39
18519621,4,38
19164549,4,38
87135798,4,38
9297922,4,38
13062841,4,37
2608750,4,37
11512975,4,35
14274834,4,35
88472270,4,35
17202320,4,34
5774810,4,33
1391868,4,32
33899478,4,32
92810304,4,32
99247769,4,29
12586456,4,28
13501564,4,28
20878653,4,28
5839616,4,28
25820230,4,27
6020232,4,27
6863323,4,27
13801165,4,25
2036582,4,25
27429886,4,25
97092739,4,25
34769961,4,24
86495928,4,24
3829158,4,23
85539904,4,23
1849772,4,20
19117452,4,20
21622433,4,20
39203643,4,20
25156987,4,19
7909367,4,19
87197856,4,19
9020891,4,19
15801036,4,18
268966,4,18
2711437,4,18
28667016,4,18
11358875,4,17
13733589,4,17
2783950,4,17
4011732,4,17
40541660,4,17
76602014,4,17
8345001,4,17
21919063,4,16
32434462,4,16
4555009,4,16
4738892,4,16
51196446,4,16
5230136,4,16
12597066,4,15
21590547,4,15
2223548,4,15
28333522,4,15
30498975,4,15
31868064,4,15
40074965,4,15
41579,4,15
8111676,4,15
155438,4,14
20127992,4,14
26435827,4,14
2763944,4,14
28672632,4,14
40031993,4,14
4317276,4,14
4323408,4,14
59548043,4,14
17757963,4,13
40419584,4,13
42773635,4,13
