uid,uname,category,guard_event_count,guard_count_sum,max_level,is_blacklist,is_510_return,is_broad_return_exclusive,is_window_new,first_seen_text,last_pre_return_text,as_active_count_after_source
171375547,邻家小牛,黑名单长期观众,1,1,3,1,0,0,0,,,0
1714743,一个人的小四党,黑名单长期观众,1,1,3,1,0,0,0,,,0
1714760,雾切哀,kg,1,1,3,0,0,0,1,2025-12-13 23:55,,19
171508064,夜空の青蔷薇,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,7
171553871,月中薪火,kg,1,1,3,0,0,0,1,2026-01-13 17:26,,0
1715683118,这一刻你在想什么_,kg,1,1,3,0,0,0,1,2026-01-31 22:22,,6
171580009,水果沙拉不要沙柆,kg,1,1,3,0,0,0,1,2026-01-09 13:53,,0
1715863,说与故人听,黑名单长期观众,1,1,3,1,0,0,0,,,0
1715866345,鑫-缘,kg,1,1,3,0,0,0,1,2025-12-16 17:52,,51
17160,ChrisSabian,黑名单长期观众,1,1,3,1,0,0,0,,,0
171730443,少酒Re1aX,黑名单长期观众,1,1,3,1,0,0,0,,,0
171747622,话费三分,黑名单长期观众,1,1,3,1,0,0,0,,,0
1717594,凯撒大帝z,kg,1,1,3,0,0,0,1,2025-12-13 23:55,,3
1718349016,迷糊中二少年alan,kg,1,1,3,0,0,0,1,,,0
171846885,想一口吃掉派大吃,黑名单长期观众,1,1,3,1,0,0,0,,,0
171884495,来_笑一个吧,kg,1,1,3,0,0,0,1,2025-12-12 08:52,,8
1719006149,开熏火焰大鸡腿,广义回旋,1,1,3,0,0,1,0,2022-02-04 19:50,2024-06-14 19:49,0
1719166469,qqswhpp,kg,1,1,3,0,0,0,1,,,0
171971779,香風智乃Official丶,黑名单长期观众,1,1,3,1,0,0,0,,,0
17197972,井宿Alhena,黑名单长期观众,1,1,3,1,0,0,0,,,0
1720052272,付出所有也无法留住你,kg,1,1,3,0,0,0,1,2025-12-24 19:50,,48
17202320,stattxi,黑名单长期观众,1,1,3,1,0,0,0,,,0
