hash,uid,status
12e9ad23,23274494,ok
12ea5a12,51217898,ok
12ea6d29,,missing
12eaf8d9,,missing
12ecc398,,missing
12f000c7,53921170,ok
12f3029a,35764041,ok
12f384ff,11810411,ok
12f74aa7,,missing
12f93653,,missing
12fddb23,,missing
12ff35b8,14341086,ok
12ff5e6d,10582394,ok
13012b9f,,missing
13013215,,missing
13016d2f,24554305,ok
13026060,578055,ok
13036809,93816251,ok
13056e5c,,missing
130650dc,,missing
13068fa6,12079725,ok
13074152,17331791,ok
1308c126,,missing
13090ee0,,missing
13097b63,18233124,ok
1309d4e1,,missing
130abd6,13848802,ok
130c99df,90810841,ok
130cd712,,missing
130cfd52,,missing
130d4cb5,38068382,ok
130ddfec,,missing
13112df7,3732111,ok
13123cad,,missing
1313c7ab,95044,ok
1315b1e7,33425385,ok
1316c421,,missing
1317abc6,12679756,ok
1319ba07,30341752,ok
131aacbc,42531919,ok
131c10d6,,missing
131c3f3,,missing
131ec387,,missing
131ee4ee,,missing
131f2154,45258829,ok
13200945,,missing
1323be44,37156989,ok
1325168d,93530206,ok
132542c9,,missing
13282b1c,,missing
132a557a,64664720,ok
132b78c4,,missing
132c3b5a,672457,ok
132d86a5,23530962,ok
132ee5a9,,missing
13304a2e,26320255,ok
133075fe,33635367,ok
13337c63,35273157,ok
1333978,,missing
133582d4,40802341,ok
1336eef,29274519,ok
1337076b,,missing
13372902,,missing
13375276,9295297,ok
13386b99,6102423,ok
133e298,,missing
13401790,,missing
13403f31,,missing
1343336f,4147247,ok
13437438,,missing
1344c272,74222189,ok
13466de5,16734976,ok
134793fd,,missing
13481546,,missing
1348dc1f,,missing
134ce58e,,missing
134e8e63,,missing
134ec2e9,,missing
134f02dc,,missing
13518e79,,missing
13522571,88544414,ok
13535c21,,missing
1354e273,,missing
13553e07,,missing
13558cef,,missing
1355eec2,,missing
1356046f,,missing
135614f4,8140395,ok
13573151,,missing
135d462,,missing
135f73e1,548921,ok
1360f49b,,missing
136321e0,,missing
1364081a,,missing
136464c6,18338230,ok
1369d305,,missing
1369ddae,,missing
136bf904,568724,ok
136c28af,,missing
136e4ae2,1114501,ok
136fb479,,missing
13709ff9,40478285,ok
1370ba24,,missing
137233f6,,missing
1372b7bf,,missing
13742348,37538393,ok
1374c54d,30894779,ok
1374e8b8,28173584,ok
1375043f,,missing
137cbd4c,,missing
137cc4f4,25339754,ok
137cf4a1,,missing
137d148b,6427233,ok
137d5a0a,93283556,ok
137e0daf,3560970,ok
137f2bbf,,missing
137f3805,37959859,ok
137f42b8,,missing
137fd3a5,,missing
138020dc,26042523,ok
1380e251,17069634,ok
138188c0,551608,ok
1381e189,,missing
1382abb7,24285069,ok
138318f1,,missing
13856449,,missing
1385b2c,43581699,ok
1385e3b3,,missing
13861e42,,missing
1386212,,missing
138b2bef,18476582,ok
138c5512,,missing
138d1fc5,37441593,ok
138e0bde,18223804,ok
13912d66,74102693,ok
13926f52,,missing
1392b013,3823945,ok
1393a255,,missing
1394b1cc,15430352,ok
1394db4e,,missing
13951b4a,,missing
13969e52,,missing
13969ffd,,missing
13975ad,91218363,ok
1397ffe1,4278811,ok
139b864a,,missing
139bb47a,,missing
139c3590,,missing
139c3e7c,,missing
139d532d,,missing
13a0a530,,missing
13a4480e,,missing
13a6d443,,missing
13a9df0e,,missing
13aa8652,39625787,ok
13ace905,,missing
13aceeaf,50993395,ok
13af74f1,,missing
13b42a22,,missing
13bad9d3,,missing
13be20ff,,missing
13bf1ca8,20651971,ok
13c07435,,missing
13c501e4,,missing
13c5fd5d,,missing
13c84be4,,missing
13c8861,,missing
13c8f0a0,,missing
13cc06d4,39634073,ok
13cdaf9a,15738290,ok
13ceb94b,3993191,ok
13cef8a9,7334265,ok
13cf028c,,missing
13cfc19b,,missing
13d46c55,,missing
13d49a24,26574107,ok
13d4bcaa,,missing
13d603f1,,missing
13d67c90,,missing
13d68915,,missing
13d69ec8,,missing
13d7db57,46828815,ok
13d7f4a9,61525327,ok
13d8cf94,,missing
13d994c6,4464632,ok
13da5ba,3510653,ok
13db5161,,missing
13dbe815,2424564,ok
13dc30cf,28895201,ok
13dcb1b7,82674150,ok
13ddddfd,1723609,ok
13df9d50,,missing
13e000c9,,missing
13e45524,,missing
13e4c6b3,,missing
13e60b3a,,missing
13e61b38,385299,ok
13e69f2a,,missing
13e8d55c,,missing
13ec0e8c,5044117,ok
13ee6a9,29033125,ok
13f0e92,30681341,ok
13f4c660,8183854,ok
13f730e5,30034552,ok
13f80f16,,missing
13fb2589,,missing
13fd2ece,,missing
13fdbd9e,,missing
13fe395a,57610689,ok
13ff1de7,8351711,ok
13ff290e,23040664,ok
14062bf4,6998038,ok
14067175,43190176,ok
1406c500,26741672,ok
1406f377,33511585,ok
140b089f,,missing
140d8aab,,missing
140da151,,missing
140e86c3,22377627,ok
140efbbb,,missing
140f9d9,,missing
1411f367,,missing
1416d599,34226266,ok
1419974b,21670539,ok
141a43ea,,missing
141d2f29,,missing
141d6283,11639831,ok
141eedb4,,missing
141f6c0a,1875744,ok
1421cd4,,missing
1421f088,13809466,ok
14223ccf,343270,ok
14230f9e,48496594,ok
1423ea26,11253330,ok
1424b21,4123953,ok
1425489b,855192,ok
14254ab6,68119527,ok
142c474f,,missing
142cf4a,5736352,ok
142e46d4,74472991,ok
142f2744,38865392,ok
142fb64b,,missing
14308257,,missing
1430cd7e,2797133,ok
1433a090,,missing
143589b8,,missing
1436153d,,missing
14364997,,missing
143664,44542462,ok
14371035,,missing
143953ee,,missing
143c4f24,,missing
143eeb5c,35410723,ok
143f2903,1277615,ok
14404432,87573424,ok
1440d766,,missing
14411db5,,missing
144221b4,4284872,ok
1444b042,,missing
144609cc,,missing
1446bb37,21519738,ok
1447e0d3,11090537,ok
1448231e,,missing
14489ea2,,missing
144c6bf2,,missing
144cb396,,missing
144cbe,22903582,ok
144cf3b1,8381452,ok
144f4973,,missing
14504ad9,54418151,ok
145399e8,2226430,ok
1453f992,,missing
1455764f,36416937,ok
14598b20,,missing
145a5fe6,44915242,ok
145a7d61,,missing
145c80b9,,missing
145ea447,,missing
145f0057,24051949,ok
145fe48b,,missing
14615c96,,missing
146252b8,67712768,ok
14635df,,missing
1465f940,,missing
14662463,,missing
14665f9e,,missing
14670438,27044734,ok
146765aa,,missing
1467d682,27926434,ok
14689783,3707110,ok
14699bd4,,missing
146a13cb,,missing
146bf6e3,,missing
146d051d,,missing
146d8650,33510104,ok
146eadd6,,missing
1471715e,,missing
147297a1,,missing
14734fa,,missing
14736ba4,,missing
1473c447,,missing
1477b18d,,missing
1477bbe0,37429855,ok
147956f7,12603274,ok
147a347c,,missing
147a4d8e,4471667,ok
147d0c9,,missing
147e9939,46985618,ok
147eaee8,,missing
148186e8,,missing
14825836,,missing
14825f33,,missing
1485b493,,missing
14874589,,missing
14892103,,missing
14892610,29041593,ok
1489a21b,,missing
1489d1b8,,missing
148c2666,8862787,ok
148c96e0,32246339,ok
148ed3ae,11979639,ok
14915a72,34507219,ok
14930a78,,missing
149bcb3c,,missing
149bdec0,,missing
149eac98,,missing
149f03b2,,missing
14a0827,16616195,ok
14a0bbb6,,missing
14a94da2,,missing
14aae021,,missing
14ac79a7,,missing
14aeda17,,missing
14af28aa,65434849,ok
14afea3,,missing
14b0b178,38569280,ok
14b10291,59268651,ok
14b1d395,575912,ok
14b4aab9,,missing
14b67ab7,,missing
14bbdb33,27390622,ok
14bcfbb8,18875025,ok
14bd9f89,27562486,ok
14bf64e6,1660060,ok
14c0145,29302775,ok
14c049bf,13719605,ok
14c237a,50014675,ok
14c4187d,,missing
14c42737,,missing
14c50f36,1855710,ok
14c546e6,14516923,ok
14c6109b,33035945,ok
14c6ce8d,28941467,ok
14c81977,,missing
14cb05b7,9605398,ok
14cc4a81,,missing
14cd7376,26322776,ok
14cde3b6,,missing
14ce7f56,,missing
14cfb10e,7837368,ok
14d12dfc,1297694,ok
14d16ede,,missing
14d1769c,3068290,ok
14d437a3,44614963,ok
14d535ca,,missing
14d59c15,,missing
14d5d916,,missing
14d68c54,,missing
14d6bbef,2768248,ok
14db1340,,missing
14dbb55c,,missing
14dbc645,,missing
14dc13fd,9064028,ok
14dc57c0,,missing
14dc8376,,missing
14dcef24,,missing
14dda452,,missing
14de895d,75989757,ok
14e35d13,,missing
14e41fc6,,missing
14e59df,4403632,ok
14e66949,12827613,ok
14e80edd,165331,ok
14e958d8,2626337,ok
14ea0b6b,28755725,ok
14ea55db,15377057,ok
14ec3e86,88584422,ok
14ec6271,26586189,ok
14ec72bc,,missing
14ed287d,18407530,ok
14ed97c5,,missing
14f38ac8,31544477,ok
14f4d4f8,7862672,ok
14f5a957,,missing
14f5ecf8,3030877,ok
14f74844,,missing
14f7a5e5,,missing
14f7c7b3,,missing
14faefef,69826520,ok
14fb0994,23207658,ok
14fb3a2,768748,ok
14fbc358,,missing
14fcdf4c,,missing
14fdae74,23167250,ok
14fdb506,,missing
150051ac,,missing
150159aa,54884396,ok
15019a55,3061972,ok
1501caf2,,missing
15023b8,,missing
1503a141,,missing
15058050,,missing
1508c4da,39520457,ok
150c4721,,missing
150cf248,,missing
150e6edc,7859124,ok
150fa6ec,,missing
1510152c,27983968,ok
15131b73,39846943,ok
151388e4,,missing
1513fef6,80994927,ok
151480c8,21785838,ok
15165312,20578333,ok
15194e6d,10892039,ok
15194ea8,,missing
151b3385,,missing
151d54fc,49687066,ok
15202bf1,,missing
15207551,5938468,ok
15213ae1,,missing
1522e2af,,missing
152669ba,40443369,ok
152c28a8,,missing
