uid,xml_count,danmu_count
16667380,5,15
35008233,5,15
38847694,5,15
14424666,5,14
15184457,5,14
15611019,5,14
18574613,5,14
22784683,5,14
32340601,5,14
38899167,5,14
6890206,5,14
74505720,5,14
81419999,5,14
2052538,5,13
22981605,5,13
26157141,5,13
4203405,5,13
557426,5,13
86188590,5,13
86273008,5,13
18570018,5,12
25579597,5,12
26594774,5,12
27307613,5,12
4197394,5,12
8484447,5,12
11435559,5,11
2261046,5,11
26285531,5,11
286799,5,11
4366981,5,11
4755773,5,11
13787089,5,10
13882520,5,10
18156908,5,10
20265654,5,10
23088219,5,10
26041554,5,10
282761,5,10
28972683,5,10
3304457,5,10
551608,5,10
8524153,5,10
1310090,5,9
22747356,5,9
23772140,5,9
32379973,5,9
32594983,5,9
34767784,5,9
3899299,5,9
40064847,5,9
43817008,5,9
56327114,5,9
96591854,5,9
13668925,5,8
1479356,5,8
1488800,5,8
3063596,5,8
3512341,5,8
5805330,5,8
6362631,5,8
8116046,5,8
884963,5,8
102350,5,7
13054717,5,7
14466979,5,7
283541,5,7
4458907,5,7
18229245,5,6
39535555,5,6
532203,5,6
5987482,5,6
8586921,5,6
14098057,5,5
23641607,5,5
7101739,5,5
74200885,5,5
59461900,4,302
85954583,4,251
62552221,4,250
35968103,4,238
99599130,4,176
12756274,4,162
20332158,4,161
34115600,4,146
26550637,4,114
6969107,4,98
24915621,4,90
12081279,4,88
129193,4,81
81852869,4,75
26345155,4,51
39025332,4,50
13978776,4,49
1890301,4,49
57139720,4,47
9271343,4,44
3248937,4,43
11498851,4,41
94732921,4,40
29062400,4,36
852870,4,36
20492945,4,35
4876652,4,35
12162565,4,34
13990158,4,33
5669655,4,33
20541781,4,32
28552314,4,32
420331,4,32
7849883,4,32
8452201,4,32
32432972,4,30
21907200,4,29
59403550,4,29
19365800,4,28
6221730,4,28
2507704,4,27
30146686,4,27
4440924,4,27
554818,4,27
3654264,4,26
3443293,4,25
6511598,4,25
14850218,4,24
33629942,4,24
42582581,4,22
67836590,4,22
12293793,4,21
19759058,4,21
37404043,4,20
87615461,4,20
13256271,4,19
1796281,4,19
8860894,4,19
174775,4,18
35693650,4,18
40021278,4,18
4211718,4,18
7517186,4,18
8187955,4,18
92415009,4,18
1391868,4,17
20011429,4,17
20407700,4,17
33268901,4,17
7769365,4,17
21910697,4,16
3091006,4,16
35292903,4,16
5877,4,16
7469923,4,16
14340073,4,15
22365571,4,15
2247015,4,15
31865190,4,15
35586962,4,15
564638,4,15
11512975,4,14
13283738,4,14
1794158,4,14
23068268,4,14
8635260,4,14
12582557,4,13
16135434,4,13
25044390,4,13
3097246,4,13
3587898,4,13
5809098,4,13
58829772,4,13
75914606,4,13
95224175,4,13
22563223,4,12
44893200,4,12
4871020,4,12
6234820,4,12
93244301,4,12
9364920,4,12
12235630,4,11
19873539,4,11
2107214,4,11
2957809,4,11
33407526,4,11
33813180,4,11
56722,4,11
573375,4,11
73913136,4,11
7548928,4,11
7768049,4,11
8548118,4,11
862917,4,11
10565193,4,10
13307239,4,10
13803135,4,10
1427612,4,10
1616218,4,10
20357888,4,10
2851509,4,10
4859682,4,10
86634209,4,10
12205901,4,9
18897406,4,9
20222925,4,9
23385388,4,9
2531406,4,9
3098091,4,9
35940143,4,9
38345161,4,9
38887890,4,9
4111350,4,9
653434,4,9
803072,4,9
91154113,4,9
10426450,4,8
12729779,4,8
14938913,4,8
23397260,4,8
25761131,4,8
2763944,4,8
3004009,4,8
330624,4,8
33588154,4,8
37832509,4,8
383442,4,8
41880,4,8
471643,4,8
472782,4,8
52048258,4,8
564988,4,8
5867613,4,8
89690582,4,8
99247769,4,8
10097890,4,7
13339300,4,7
135276,4,7
142197,4,7
188402,4,7
2374063,4,7
27845473,4,7
28163386,4,7
34414290,4,7
34585310,4,7
36164239,4,7
38707018,4,7
43487483,4,7
556787,4,7
71146512,4,7
85462286,4,7
88752564,4,7
90251,4,7
11401597,4,6
11732069,4,6
12021676,4,6
13408508,4,6
1423372,4,6
18988036,4,6
21598287,4,6
23975008,4,6
24028313,4,6
3068962,4,6
3220992,4,6
32688303,4,6
33943438,4,6
40566468,4,6
43154618,4,6
51818085,4,6
61452714,4,6
61546896,4,6
62862254,4,6
67922975,4,6
6896,4,6
7443918,4,6
7470347,4,6
97250,4,6
98976333,4,6
11043496,4,5
11686981,4,5
12605050,4,5
1535796,4,5
16886610,4,5
18254335,4,5
19690761,4,5
22189400,4,5
2550754,4,5
26562569,4,5
27585717,4,5
35851294,4,5
4157574,4,5
50966386,4,5
5369357,4,5
643581,4,5
6605333,4,5
71033415,4,5
780014,4,5
82670031,4,5
90737065,4,5
12204408,4,4
1272784,4,4
139875,4,4
14007075,4,4
16194970,4,4
167546,4,4
17274204,4,4
18243846,4,4
20367626,4,4
20653278,4,4
20683265,4,4
22507236,4,4
23257216,4,4
2343972,4,4
2411802,4,4
24366880,4,4
24839220,4,4
24840588,4,4
2486006,4,4
27352902,4,4
28006030,4,4
29554975,4,4
33713684,4,4
37050555,4,4
56471,4,4
83494688,4,4
8856264,4,4
89159162,4,4
13986464,3,217
19446776,3,205
44694783,3,102
76566095,3,74
35000969,3,73
11849317,3,68
56787780,3,60
32201637,3,57
6801559,3,57
77696341,3,57
38444657,3,52
76514299,3,51
6308591,3,50
22277747,3,45
32245594,3,42
14380975,3,41
34889133,3,41
31921959,3,39
35118504,3,39
3582956,3,37
4217700,3,37
3817396,3,36
10700397,3,34
18935096,3,34
33781917,3,33
14445968,3,32
71904271,3,32
22678911,3,30
34794936,3,30
38377451,3,30
79395877,3,30
13367177,3,27
2634835,3,26
12393800,3,25
12697390,3,25
15541608,3,25
25584934,3,25
4707654,3,25
4914334,3,25
24643425,3,23
2553861,3,23
47894806,3,23
9365560,3,23
24539360,3,22
4147247,3,22
54795585,3,22
34769961,3,21
45543856,3,21
6073284,3,21
702113,3,21
15383491,3,20
20970705,3,19
34815572,3,19
46085614,3,19
90417236,3,19
2259806,3,18
34728574,3,18
37999665,3,18
5181978,3,18
22191514,3,17
28883876,3,17
29288015,3,17
3700149,3,17
4909095,3,17
5518746,3,17
14650603,3,16
28559229,3,16
574537,3,16
609617,3,16
62470638,3,16
8030188,3,16
14089969,3,15
17081862,3,15
24060874,3,15
29601638,3,15
40970022,3,15
49644585,3,15
63505471,3,15
11787424,3,14
1444504,3,14
27386269,3,14
3363257,3,14
57500882,3,14
6739177,3,14
6840143,3,14
13559551,3,13
13624712,3,13
14634727,3,13
18557148,3,13
19542592,3,13
2916678,3,13
33482879,3,13
3401587,3,13
35497279,3,13
38721841,3,13
56846555,3,13
6510955,3,13
12586456,3,12
1879241,3,12
19536505,3,12
19979657,3,12
21599745,3,12
29951465,3,12
38770364,3,12
69690597,3,12
13007965,3,11
1901873,3,11
26634640,3,11
30273734,3,11
31868064,3,11
33143404,3,11
33530969,3,11
36791769,3,11
68414002,3,11
75595904,3,11
8411425,3,11
8431606,3,11
866703,3,11
8807418,3,11
10941424,3,10
12466408,3,10
18325145,3,10
23186830,3,10
308849,3,10
35525757,3,10
35642099,3,10
6480556,3,10
71271,3,10
7913675,3,10
9436743,3,10
10455660,3,9
12753278,3,9
13804375,3,9
14104721,3,9
1741767,3,9
2504945,3,9
25701288,3,9
2958338,3,9
31478993,3,9
3425078,3,9
38128070,3,9
4529931,3,9
51196446,3,9
55939009,3,9
8734465,3,9
94589800,3,9
95736890,3,9
96367727,3,9
109139,3,8
12114921,3,8
13188554,3,8
1594185,3,8
1719897,3,8
19963704,3,8
21801292,3,8
22985385,3,8
29166627,3,8
36201520,3,8
396743,3,8
40229771,3,8
482835,3,8
56181970,3,8
66873514,3,8
727918,3,8
75138308,3,8
8176881,3,8
94082385,3,8
13060937,3,7
14252901,3,7
1535266,3,7
2080888,3,7
2186753,3,7
23920488,3,7
25114398,3,7
26073537,3,7
2623419,3,7
27107186,3,7
292547,3,7
30173690,3,7
30341752,3,7
3113273,3,7
3265912,3,7
33011426,3,7
3589154,3,7
38032401,3,7
40091031,3,7
4102960,3,7
54619804,3,7
6766863,3,7
75928235,3,7
7668449,3,7
76917006,3,7
824799,3,7
8435444,3,7
86225139,3,7
875366,3,7
87680611,3,7
8854441,3,7
91651042,3,7
9267639,3,7
98005,3,7
99206022,3,7
10987925,3,6
11783888,3,6
12925936,3,6
13038428,3,6
13315618,3,6
13665118,3,6
15045516,3,6
1715863,3,6
1737720,3,6
176682,3,6
18581446,3,6
19166679,3,6
1917309,3,6
21694949,3,6
22222829,3,6
24576274,3,6
26257645,3,6
28544678,3,6
35007334,3,6
35654132,3,6
3599947,3,6
3899428,3,6
39779871,3,6
39836256,3,6
57865129,3,6
74053669,3,6
80145,3,6
8231667,3,6
8306391,3,6
8313494,3,6
8374171,3,6
85924666,3,6
93617899,3,6
9857314,3,6
11167060,3,5
11649142,3,5
11682906,3,5
11730157,3,5
11896460,3,5
12017112,3,5
12737661,3,5
12786594,3,5
1325652,3,5
15647905,3,5
17224333,3,5
1858841,3,5
18990413,3,5
19073008,3,5
1985987,3,5
20921750,3,5
23973452,3,5
27487210,3,5
27744818,3,5
28708047,3,5
29033125,3,5
34809090,3,5
34871091,3,5
35158718,3,5
38630369,3,5
3998574,3,5
400847,3,5
447506,3,5
52487976,3,5
5977358,3,5
62996075,3,5
6343422,3,5
